period_type,period_start_kst,period_end_kst,metric,value,unit
day,2026-06-28,2026-06-28,matched_requests,0,count
day,2026-06-28,2026-06-28,unmatched_requests,1,count
day,2026-06-28,2026-06-28,match_rate_pct,0,percent
day,2026-06-28,2026-06-28,faq_end_proxy_rate_pct,0,percent
day,2026-06-29,2026-06-29,total_requests,17,count
day,2026-06-29,2026-06-29,matched_requests,11,count
day,2026-06-29,2026-06-29,unmatched_requests,6,count
day,2026-06-29,2026-06-29,match_rate_pct,64.7,percent
day,2026-06-29,2026-06-29,faq_end_proxy_rate_pct,66.7,percent
day,2026-06-30,2026-06-30,total_requests,1,count
day,2026-06-30,2026-06-30,matched_requests,0,count
day,2026-06-30,2026-06-30,unmatched_requests,1,count
day,2026-06-30,2026-06-30,match_rate_pct,0,percent
day,2026-06-30,2026-06-30,faq_end_proxy_rate_pct,0,percent
week,2026-05-18,2026-05-24,total_requests,68,count
week,2026-05-18,2026-05-24,matched_requests,46,count
week,2026-05-18,2026-05-24,unmatched_requests,22,count
week,2026-05-18,2026-05-24,match_rate_pct,67.6,percent
week,2026-05-18,2026-05-24,faq_end_proxy_rate_pct,84.6,percent
week,2026-05-25,2026-05-31,total_requests,45,count
week,2026-05-25,2026-05-31,matched_requests,26,count
week,2026-05-25,2026-05-31,unmatched_requests,19,count
week,2026-05-25,2026-05-31,match_rate_pct,57.8,percent
week,2026-05-25,2026-05-31,faq_end_proxy_rate_pct,61.5,percent
week,2026-06-01,2026-06-07,total_requests,80,count
week,2026-06-01,2026-06-07,matched_requests,53,count
week,2026-06-01,2026-06-07,unmatched_requests,27,count
week,2026-06-01,2026-06-07,match_rate_pct,66.3,percent
week,2026-06-01,2026-06-07,faq_end_proxy_rate_pct,54.5,percent
week,2026-06-08,2026-06-14,total_requests,26,count
week,2026-06-08,2026-06-14,matched_requests,16,count
week,2026-06-08,2026-06-14,unmatched_requests,10,count
week,2026-06-08,2026-06-14,match_rate_pct,61.5,percent
week,2026-06-08,2026-06-14,faq_end_proxy_rate_pct,68.8,percent
week,2026-06-15,2026-06-21,total_requests,23,count
week,2026-06-15,2026-06-21,matched_requests,13,count
week,2026-06-15,2026-06-21,unmatched_requests,10,count
week,2026-06-15,2026-06-21,match_rate_pct,56.5,percent
