period_type,period_start_kst,period_end_kst,brand,total_requests,matched_requests,unmatched_requests,match_rate_pct,unique_users,sessions,faq_end_proxy_sessions,faq_end_proxy_rate_pct,explicit_handoff_observed_sessions,typo_corrected_requests,test_requests_excluded,metric_caveat
day,2026-06-26,2026-06-26,ALL,6,3,3,50,4,5,2,40,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-26,2026-06-26,woods,2,1,1,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-26,2026-06-26,laurastar,4,2,2,50,2,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-27,2026-06-27,ALL,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-27,2026-06-27,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-28,2026-06-28,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-28,2026-06-28,aarke,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-29,2026-06-29,ALL,17,11,6,64.7,5,6,4,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-29,2026-06-29,laurastar,5,2,3,40,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-29,2026-06-29,aarke,10,7,3,70,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-29,2026-06-29,litter-robot,2,2,0,100,1,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-30,2026-06-30,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-30,2026-06-30,aarke,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-05-18,2026-05-24,ALL,68,46,22,67.6,10,13,11,84.6,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-05-18,2026-05-24,laurastar,68,46,22,67.6,10,13,11,84.6,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-05-25,2026-05-31,ALL,45,26,19,57.8,11,13,8,61.5,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-05-25,2026-05-31,laurastar,25,15,10,60,6,6,4,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-05-25,2026-05-31,woods,20,11,9,55,6,7,4,57.1,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-01,2026-06-07,ALL,80,53,27,66.3,18,22,12,54.5,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-01,2026-06-07,woods,52,39,13,75,9,10,5,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-01,2026-06-07,laurastar,28,14,14,50,11,12,7,58.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-08,2026-06-14,ALL,26,16,10,61.5,16,16,11,68.8,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-08,2026-06-14,laurastar,18,10,8,55.6,9,9,6,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-08,2026-06-14,woods,8,6,2,75,7,7,5,71.4,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-15,2026-06-21,ALL,23,13,10,56.5,9,9,4,44.4,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-15,2026-06-21,laurastar,16,7,9,43.8,7,7,3,42.9,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
